Title: The refractive index of amorphous and crystalline water ice in the UV-vis 
Authors: Kofman V., He J., ten Kate I.L., Linnartz H. 
Table: Specific refraction, R(lambda), and refractive index, n(lambda) over 
    the studied temperature and wavelength range
================================================================================
Byte-by-byte Description of file: apjab0d89t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  5 F5.1   nm      lambda   wavelength, nm
   7- 12 F6.4   ---     Rl       specific refraction, R(lambda)
  14- 19 F6.4   ---   e_Rl       Uncertainty in Rl
  21- 26 F6.4   ---     nl-10K   refractive index, n(lambda), at 10 K
  28- 33 F6.4   ---     nl-30K   refractive index, n(lambda), at 30 K
  35- 40 F6.4   ---     nl-50K   refractive index, n(lambda), at 50 K
  42- 47 F6.4   ---     nl-70K   refractive index, n(lambda), at 70 K
  49- 54 F6.4   ---     nl-90K   refractive index, n(lambda), at 90 K
  56- 61 F6.4   ---     nl-110K  refractive index, n(lambda), at 110 K
  63- 68 F6.4   ---     nl-130K  refractive index, n(lambda), at 130 K
  70- 75 F6.4   ---     nl-150K  refractive index, n(lambda), at 150 K
--------------------------------------------------------------------------------
267.6 0.2298 0.0026 1.2106 1.2303 1.2503 1.2706 1.2911 1.3118 1.3329 1.3453 
268.1 0.2296 0.0026 1.2104 1.2302 1.2502 1.2704 1.2909 1.3116 1.3327 1.3450 
268.7 0.2295 0.0025 1.2103 1.2300 1.2500 1.2702 1.2907 1.3114 1.3324 1.3448 
269.3 0.2294 0.0025 1.2102 1.2299 1.2498 1.2700 1.2905 1.3112 1.3322 1.3446 
269.8 0.2292 0.0025 1.2100 1.2297 1.2497 1.2699 1.2903 1.3110 1.3320 1.3444 
270.4 0.2291 0.0025 1.2099 1.2296 1.2495 1.2697 1.2901 1.3108 1.3318 1.3441 
270.9 0.2290 0.0025 1.2098 1.2295 1.2494 1.2695 1.2900 1.3106 1.3316 1.3439 
271.5 0.2288 0.0025 1.2097 1.2293 1.2492 1.2694 1.2898 1.3105 1.3314 1.3437 
272.1 0.2287 0.0024 1.2095 1.2292 1.2491 1.2692 1.2896 1.3103 1.3312 1.3435 
272.6 0.2286 0.0024 1.2094 1.2291 1.2489 1.2691 1.2894 1.3101 1.3310 1.3433 
273.2 0.2285 0.0024 1.2093 1.2289 1.2488 1.2689 1.2893 1.3099 1.3308 1.3431 
273.7 0.2283 0.0024 1.2092 1.2288 1.2486 1.2687 1.2891 1.3097 1.3306 1.3429 
274.3 0.2282 0.0024 1.2091 1.2287 1.2485 1.2686 1.2889 1.3095 1.3304 1.3427 
274.9 0.2281 0.0024 1.2089 1.2285 1.2484 1.2684 1.2888 1.3093 1.3302 1.3425 
275.4 0.2280 0.0023 1.2088 1.2284 1.2482 1.2683 1.2886 1.3092 1.3300 1.3423 
276.0 0.2279 0.0023 1.2087 1.2283 1.2481 1.2681 1.2884 1.3090 1.3298 1.3421 
